n,single time,two time,four time,eight time,sixteen time,thirty two time
2,28,212,253,738,1180,1936,603
3,14,151,322,419,916,1582,556
4,22,116,206,515,974,1981,931
5,15,131,200,392,778,1601,1468
6,15,111,216,397,766,1816,1782
7,24,122,211,441,782,1709,2736
8,22,117,216,408,801,1720,3299
9,24,125,215,653,976,1712,4240
10,29,143,271,493,836,1577,5389
11,38,141,252,471,976,1753,6208
12,50,91,176,317,612,1021,6424
13,19,73,121,213,335,638,4782
14,19,77,107,184,333,601,3948
15,20,56,91,159,297,565,3934
16,23,52,83,143,266,494,3856
17,26,54,84,142,285,539,4327
18,31,59,91,161,268,662,4868
19,33,60,89,153,323,553,5221
20,36,64,94,150,268,487,5893
21,41,74,99,164,263,495,6632
22,50,75,104,169,274,539,7041
23,54,83,111,170,294,511,7867
24,54,86,109,162,268,485,8427
25,62,91,123,175,284,538,9131
26,67,114,135,191,296,518,9401
27,69,101,130,181,289,620,10452
28,79,134,161,219,315,695,11218
29,90,135,157,200,289,529,11039
30,101,161,157,249,750,532,11769
31,106,140,159,210,309,511,12642
32,118,151,177,241,350,538,14302
33,187,198,185,241,345,550,14565
34,180,170,208,264,374,596,16295
35,154,189,232,258,368,602,17428
36,167,190,235,335,425,648,18223
37,173,204,235,281,389,602,18629
38,254,211,311,328,389,863,19486
39,207,249,287,323,438,640,20997
40,269,245,271,322,435,652,21781
41,229,263,287,344,610,695,22418
42,253,290,312,379,472,686,24790
43,281,294,402,438,533,843,26510
44,285,321,318,419,494,680,26183
45,294,322,505,611,708,741,28612
46,435,347,426,429,543,1529,29438
47,349,373,405,435,583,882,31452
48,362,400,427,474,574,779,31083
49,376,446,574,600,591,851,32628
50,415,563,463,512,613,823,34301
51,456,475,492,542,759,1193,35736
52,462,495,561,599,674,904,35952
53,467,521,545,600,714,946,39451
54,520,543,575,626,1004,1221,39460
55,553,601,625,689,814,1007,42361
56,592,625,676,834,919,1171,42122
57,592,610,634,723,782,990,43474
58,627,673,787,939,898,1315,46395
59,697,822,750,802,868,1119,46505
60,712,768,760,947,909,1124,49725
61,705,796,800,908,1022,1137,51500
62,940,812,917,1033,996,1208,52750
63,866,825,967,935,1048,1253,54416
64,818,894,994,1034,1131,1269,55364
65,891,944,934,980,1257,1438,58570
66,906,966,1074,1239,1187,1381,59240
67,979,1045,1090,1035,1139,1340,66160
68,1046,1076,1137,1107,1508,1435,65053
69,1385,1163,1184,1252,1318,1648,65340
70,1196,1838,1762,1485,1308,1521,68858
71,1290,1150,1650,1987,2120,2293,72491
72,1218,1288,1442,1323,1423,1791,71279
73,1758,1364,1424,1401,1455,1810,74419
74,1385,1436,1581,1714,1914,1922,76454
75,1417,1425,1544,1764,1852,1986,79352
76,1504,1544,1560,1717,1680,1975,80618
77,1849,1641,1526,1594,2121,2102,84443
78,1635,1746,1981,1919,2045,2001,84765
79,1701,1785,1925,2134,2147,2916,86207
80,1715,1884,1835,1986,2145,2159,87256
81,1791,1869,1972,2257,2622,2749,89309
82,2000,2046,1952,2260,2197,2349,95010
83,2165,1868,2060,2245,2310,2633,96973
84,2116,2187,2342,2420,2446,2354,101343
85,2219,2148,2196,2425,2752,2497,98899
86,2136,2206,2307,2754,2963,2556,102212
87,2216,2432,2376,2526,2855,2546,103503
88,2347,2692,2494,2694,2915,2721,107142
89,2378,2381,2888,2798,3131,2849,108351
90,2457,2671,2735,2939,3190,3335,116353
91,2522,3208,2867,2939,3186,3123,119901
92,2672,2753,3061,3126,2899,3184,119627
93,2613,2921,2757,2928,3021,3503,121402
94,2738,3008,3046,3287,3536,3997,121034
95,4208,3164,3155,3408,3528,3337,122486
96,3047,3201,3067,3046,3733,4155,128157
97,3219,3279,3331,3635,3864,3721,130291
98,3250,3414,3574,3489,3662,3943,134916
99,3271,3598,3739,3498,3569,3683,135022
100,3407,3532,3784,4024,4045,4094,141126
101,3655,3664,3783,3582,3991,3968,142675
102,3781,3646,3653,3697,3828,4671,149028
103,3701,4098,3822,4476,4609,4575,149228
104,3749,3759,4267,4394,4737,5520,149016
105,3766,4121,3978,4851,5513,4719,159339
106,4149,4071,4147,4502,4616,4862,156713
107,4652,4152,4774,4501,4849,5114,158438
108,4369,4572,4671,4833,5172,5341,162424
109,4787,4449,4749,5393,5048,5811,172110
110,4494,4920,4664,4948,5215,5650,168849
111,4525,5749,4883,4726,5189,6159,178743
112,4888,4903,4961,5217,5483,5856,176968
113,4936,5210,5064,5464,5825,6259,179671
114,5130,5376,5199,5327,5251,5694,179411
115,4762,5263,6285,5368,5919,6820,187997
116,5272,5462,5316,5303,5829,5504,187344
117,5581,5536,5779,5872,6040,6810,189395
118,5666,5627,5911,6338,7115,6119,197536
119,5826,5906,6056,5998,6525,6638,195933
120,5736,5935,6379,6320,6867,6758,200787
121,5800,6084,6434,6212,6461,7745,206522
122,5911,6305,6151,6828,7915,7731,205405
123,6314,6491,6324,6697,6368,7582,211097
124,6443,6980,6677,7020,7130,8414,224170
125,6882,7210,8366,8088,8370,8139,221823
126,6801,6924,7051,7073,8117,8450,225781
127,6777,7192,6978,7816,7967,8569,222451
128,7220,6975,7816,6853,7736,8845,229303
129,7229,7458,7308,7995,8109,8416,232962
130,7907,7619,8010,8042,8247,8174,237629
131,8463,7776,7703,8140,8108,8415,242631
132,8477,7820,8359,8255,8883,8690,252132
133,7681,8401,8173,9191,8804,9681,247322
134,7714,8354,8615,8703,8611,9519,250696
135,8677,8646,8612,9087,9169,9586,258803
136,8214,8852,8612,8331,8836,9902,257899
137,8823,8862,9008,9554,10232,9745,263266
138,10183,8997,9375,9251,9888,10485,268243
139,9094,9390,9394,9871,9399,9896,271455
140,9928,9678,9937,9980,10224,11005,279931
141,9166,9997,9790,10526,10551,11805,283165
142,10267,10152,10150,10387,10210,11126,285597
143,9494,10536,10653,10518,10823,11745,285649
144,9955,10511,10371,10789,10884,11677,290069
145,10323,10491,10423,11211,10591,12313,296150
146,10819,11000,10495,10256,10118,12451,297083
147,10394,11454,10998,10995,11840,11891,298591
148,10577,11699,11453,11474,12934,12463,314535
149,12362,11460,11427,11872,12380,12561,307652
150,11477,11871,11614,11934,12267,12800,326946
151,11529,11721,11668,12266,12370,13438,320330
152,11551,12370,12298,11716,12634,13715,322738
153,11902,12155,12153,12920,13337,12799,333876
154,12158,12573,12204,12464,13106,14268,341294
155,12750,13045,12806,25213,16264,15265,340400
156,12263,13677,13065,13627,13866,14473,339331
157,13103,13357,13325,13959,13536,14670,346678
158,13517,13549,14245,14137,14805,14751,352629
159,13237,14094,13729,14836,14126,14783,354755
160,13340,14163,14055,13806,13832,14169,370540
161,13974,14064,14776,14645,15375,16470,372056
162,14335,14841,14627,14735,15260,15685,370466
163,14637,15098,14689,14967,15338,16679,375936
164,14924,15290,14862,15710,15185,16168,382748
165,15146,15789,15179,16284,16605,17737,385361
166,15358,15849,15848,16224,16590,17073,387018
167,16853,16059,15927,16192,16293,17623,389337
168,15305,16568,16273,16211,17060,17316,402791
169,16404,16336,16478,16341,16523,17826,409468
170,16536,17533,16936,17057,17771,17351,411331
171,16683,17607,17283,17851,17193,18688,417318
172,16879,17439,17267,17438,17532,18477,421608
173,16975,18146,17807,18085,17875,18772,427655
174,17742,18476,18114,18324,17908,18741,428351
175,17596,18213,18351,18630,18419,19108,444868
176,17755,18775,18798,18410,19153,19456,439389
177,18636,19213,18974,19675,19359,20252,449917
178,18551,19591,19194,18388,19535,21320,448282
179,19264,19476,20443,19743,19032,20799,457489
180,19543,20224,20013,20126,19581,21882,458218
181,19965,20385,19933,20458,20571,21301,455935
182,20656,21948,20361,19926,20945,23615,492253
183,20563,20754,21436,20611,20870,21590,476054
184,20926,21671,21086,21347,21285,22353,490673
185,21579,22536,21551,22007,22979,23321,490277
186,21322,22385,22372,22671,22173,23175,496446
