n,single time,two time,muti time
2,27,304,635
3,17,156,723
4,16,123,1005
5,15,127,1322
6,16,112,1935
7,24,161,2852
8,20,158,3234
9,29,126,4239
10,26,122,4956
11,23,166,6527
12,41,140,7886
13,47,168,8674
14,57,146,10047
15,46,123,9987
16,31,68,7269
17,28,63,5665
18,29,58,5381
19,34,90,5676
20,36,68,6243
21,48,86,6668
22,46,75,7101
23,50,80,8016
24,58,87,8209
25,65,86,8453
26,70,106,10088
27,77,109,10499
28,88,115,11161
29,96,138,11969
30,111,136,12327
31,110,143,13233
32,114,141,14016
33,134,202,14800
34,139,167,15752
35,154,188,16538
36,165,194,18118
37,265,291,19658
38,186,283,19280
39,348,234,20169
40,248,253,21622
41,221,252,23303
42,251,422,24504
43,314,348,26567
44,298,340,28154
45,332,359,29420
46,338,374,29885
47,349,377,30565
48,377,404,31682
49,406,425,32447
50,404,444,33231
51,430,529,35032
52,484,515,38973
53,495,561,38903
54,528,551,39613
55,534,642,40277
56,594,588,42143
57,611,642,46248
58,627,705,44661
59,650,692,47790
60,714,750,49787
61,733,776,50906
62,766,808,53425
63,834,835,54863
64,849,893,56313
65,866,1219,57239
66,1367,983,61784
67,1001,1026,60673
68,1048,1228,66500
69,1069,1123,69865
70,1116,1175,66483
71,1144,1209,68977
72,1218,1238,71130
73,1280,1396,76788
74,1360,1486,76478
75,1916,1554,79529
76,1483,1527,82602
77,1578,1649,81772
78,1694,1797,85633
79,1736,1707,86700
80,1655,1755,90502
81,1935,1853,91120
82,1933,1943,91241
83,1963,2007,93915
84,1945,2071,98349
85,2162,2252,103559
86,2330,2247,102852
87,2279,2670,108235
88,2370,2445,110164
89,2412,2399,108347
90,2576,2759,112422
91,2616,2607,115894
92,2704,2653,116287
93,2788,3161,126133
94,2821,3289,126982
95,3269,3046,135888
96,2892,3612,128242
97,3119,3495,141577
98,3447,3336,136201
99,3468,3716,137708
100,3497,3586,137280
101,3579,3570,139562
102,3491,3583,145238
103,3692,3903,153321
104,3928,4126,153311
105,4255,4002,153965
106,4393,4279,155215
107,4131,4321,163747
