n,single time,two time,four time,eight time,sixteen time,thirty two time
1,4,232,546,1010,2010,5180,551
2,4,46,96,182,387,722,46
3,4,40,68,181,380,712,61
4,4,46,66,202,447,816,70
5,4,49,111,190,394,814,117
6,6,45,77,177,379,870,139
7,6,50,84,241,447,914,186
8,7,59,101,216,499,814,187
9,7,50,100,215,380,762,269
10,8,51,84,189,379,765,266
11,9,60,93,212,407,805,319
12,12,51,81,209,392,739,308
13,13,58,104,192,450,766,346
14,16,66,120,229,466,776,338
15,19,72,98,211,407,728,397
16,21,61,105,190,383,781,384
17,25,69,108,225,453,821,474
18,41,75,129,247,485,1045,536
19,32,82,111,235,401,787,580
20,36,73,122,239,400,772,495
21,43,93,128,252,405,764,524
22,47,84,137,248,408,783,554
23,54,94,141,269,417,810,577
24,60,150,188,289,512,958,787
25,67,119,182,317,545,882,836
26,74,129,190,380,544,977,807
27,87,123,187,335,531,938,993
28,87,131,196,329,482,807,817
29,95,129,228,357,522,912,774
30,98,143,199,391,496,817,843
31,128,146,225,346,530,832,796
32,121,159,232,339,541,881,841
33,127,160,222,346,512,906,952
34,137,175,337,371,604,897,1004
35,150,184,275,425,570,984,1018
36,159,198,287,466,675,922,987
37,314,405,359,485,708,1130,1169
38,209,226,376,536,796,1220,1419
39,220,255,387,514,801,1176,1403
40,230,275,410,541,751,1218,1382
41,244,523,430,673,1043,1327,1318
42,343,302,452,594,824,1087,1415
43,503,604,538,599,834,1109,1641
44,547,333,511,665,779,1251,1450
45,580,352,529,691,838,1158,1850
46,363,380,573,677,1101,1461,1640
47,352,788,628,811,1077,1306,1826
48,371,812,840,798,1114,1481,1745
49,391,847,681,884,1185,1371,1787
50,413,460,746,1032,1336,1469,1850
51,817,468,715,987,1200,1532,1877
52,687,502,992,1016,1111,1351,1981
53,523,541,898,983,1419,1590,2187
54,515,1099,1127,993,1412,1548,2071
55,546,595,663,1281,1435,1750,2118
56,563,691,1117,1156,1481,1950,2217
57,652,729,998,1317,1674,1704,2397
58,1190,682,1065,1204,1838,2008,2517
59,682,783,1372,1538,1743,2270,2506
60,711,735,1107,1678,1936,2345,3124
61,756,1547,1194,1612,1672,2281,2897
62,786,822,1677,1541,1755,2310,2911
63,826,1695,1327,1777,1929,2674,2997
64,863,1949,1703,1849,1997,3013,3026
65,886,1932,1407,2192,2207,2950,3169
66,915,980,1964,1699,2113,2788,3480
67,1844,1022,2122,1871,2326,2734,3167
68,1050,1144,1836,2144,2175,2978,3287
69,1035,1124,2239,2067,2733,2964,3537
70,1176,1176,1778,2071,2468,3826,3825
71,1265,2503,3057,2657,2631,3342,4075
72,1736,1297,2563,2692,3020,3405,5282
73,2377,1347,2640,2418,2846,3874,4744
